ds,кластер1,кластер2,кластер3,кластер4,кластер5,кластер6
2020-05-16,99795,1024480,10127650,2249593,10186,9743349
2020-05-17,126622,1025489,9434526,2245770,10940,8938405
2020-05-18,72566,1221228,9164503,2703169,12325,26518797
2020-05-19,57620,1505717,9251956,2492470,11708,26953732
2020-05-20,50026,1269582,9216405,2448890,11498,25248856
2020-05-21,52011,1351945,9495661,2432171,11782,22577615
2020-05-22,49023,1757190,10401114,2433108,11108,16826668
2020-05-23,77225,1286450,10376105,1913226,10398,6966080
2020-05-24,56815,1600515,9596514,1924276,10557,5778400
2020-05-25,44952,1583732,9152107,2374949,11792,12869509
2020-05-26,86293,1362117,9117255,2257353,11702,12593807
2020-05-27,55530,1526436,9072884,2314759,11357,10677921
2020-05-28,45731,2411710,9368616,2342112,10849,8377225
2020-05-29,48165,1545117,10024475,2342308,10859,5775779
2020-05-30,60865,1080056,10089063,1726274,9602,3253913
2020-05-31,122176,1343977,9686322,1957465,10974,2883643
2020-06-01,56845,2386599,9078692,2395992,11941,4828561
2020-06-02,42493,1162113,9082164,2083356,12658,4962905
2020-06-03,42332,1262468,9003174,2026414,12194,4795053
2020-06-04,44631,1142112,9132572,2019648,11685,4562256
2020-06-05,43232,1164481,9844520,1850342,10924,4011238
2020-06-06,62880,1143426,10027043,1492959,9273,2721814
2020-06-07,130557,2096251,9427479,1496179,9902,2259407
2020-06-08,45049,1252526,8657565,2125435,12247,4147884
2020-06-09,58172,1538762,8656913,1903902,12731,4227535
2020-06-10,48163,1073840,8783588,1606716,12967,4214736
2020-06-11,46548,1114800,9316636,1610781,12372,3890810
2020-06-12,110025,1887802,9983032,1321279,10856,2180845
2020-06-13,111936,873899,9712308,1319727,11296,2569371
2020-06-14,107801,969372,9255130,1300448,12097,2222802
2020-06-15,54755,1064269,8558894,1760634,14038,3918909
2020-06-16,74488,1062338,8527848,1500084,14183,3978057
2020-06-17,119765,1061819,8583700,1483456,14659,3866843
2020-06-18,67585,1039167,8809329,1460667,14560,3868733
2020-06-19,184978,1142930,9475223,1299023,13650,3657120
2020-06-20,214102,1183741,9953171,1054269,11765,2538256
2020-06-21,381132,2532899,9450788,1089236,13221,2075623
2020-06-22,146349,1083586,8864717,1462256,16270,4105715
2020-06-23,121442,970090,9023487,1381108,16460,3793736
2020-06-24,147322,954124,9084154,1104422,14668,2579599
2020-06-25,174648,963231,8725445,1362536,16306,3705138
2020-06-26,114984,953826,9310667,1285133,15482,3330978
2020-06-27,302986,1174931,9663006,987706,12797,2283187
2020-06-28,277890,873171,9166742,1029443,14231,1780367
2020-06-29,107945,945557,8722329,1377794,17442,2986020
2020-06-30,175570,976276,8973863,1281342,17006,2680676
2020-07-01,223469,983512,9066189,1038055,15608,1884236
2020-07-02,180261,948746,8828653,1238386,17710,2425645
2020-07-03,84341,1107991,9459256,1116855,17108,2082165
2020-07-04,340794,838493,9686324,861051,14931,1607268
2020-07-05,258046,876248,9000226,912485,15691,1658022
2020-07-06,115135,1043447,8631744,1226969,18969,2030298
2020-07-07,151093,1324501,8565116,1137455,19407,1716489
2020-07-08,298976,2623841,8622216,1135765,18784,1733164
2020-07-09,147553,950663,8841734,1112988,18448,1816027
2020-07-10,103168,954795,9621275,1067518,17423,1555458
2020-07-11,291655,888693,9786780,806908,13900,1090140
2020-07-12,1022638,1310662,9141146,846557,14910,1138565
2020-07-13,292714,909629,8667609,1136653,19312,1527222
2020-07-14,165864,951208,8800473,1055658,19224,1513972
2020-07-15,259015,949028,8738706,1033804,18882,1568513
2020-07-16,259156,943222,8918941,983714,18040,1456873
2020-07-17,103784,968535,9768333,955295,16975,1161351
2020-07-18,109411,848586,9894898,753604,13838,898807
2020-07-19,332392,858945,9205532,749067,14875,951246
2020-07-20,120752,943793,8740223,1017861,19169,1259650
2020-07-21,121551,1211237,8953123,941433,18852,1215910
2020-07-22,318846,967498,8931216,950229,18654,1215864
2020-07-23,128151,1013863,9057545,956014,17869,1203501
2020-07-24,571351,1253298,9705583,901634,17716,1092702
2020-07-25,407614,1212713,10105351,697897,15160,763835
2020-07-26,349785,1485975,9467490,697728,16338,777631
2020-07-27,133268,941163,8763751,977669,20309,1125571
2020-07-28,92509,1084459,8925318,927244,19563,1188539
2020-07-29,103656,973026,8916840,927035,19552,1174289
2020-07-30,77895,1377137,9170020,902622,18796,1135533
2020-07-31,85449,1411012,10148755,914831,17872,1055204
2020-08-01,178824,1239142,10505130,718466,16415,844218
2020-08-02,130666,2163930,10005926,715987,18239,851089
2020-08-03,74754,967151,8912022,952084,22678,1244355
2020-08-04,69654,978924,8984350,924518,23768,1302309
2020-08-05,124556,997112,8848571,948566,21479,1272527
2020-08-06,108088,986175,8971092,896909,21099,1271740
2020-08-07,444623,1058773,9876152,849744,19498,1191152
2020-08-08,481827,1065624,10145580,689637,15840,841265
2020-08-09,426840,1328439,9634132,675693,17184,868238
2020-08-10,273241,978356,8991336,920672,21998,1374900
2020-08-11,326637,1031682,8962650,842084,21981,1422723
2020-08-12,207208,1071758,8997768,804382,21033,1455466
2020-08-13,187477,1009075,9202053,779247,20683,1413830
2020-08-14,584209,1572847,9975992,721301,18915,1272063
2020-08-15,613292,861458,10333136,562109,16005,919235
2020-08-16,522969,849306,9474616,581658,16692,906243
2020-08-17,218102,924414,8880675,797266,20495,1390962
2020-08-18,341628,1037441,8985376,741905,20474,1402163
2020-08-19,895898,1761605,9043999,719791,20343,1405844
2020-08-20,193941,995935,9108816,720746,19738,1380838
2020-08-21,269214,1064822,9989120,684180,18736,1246004
2020-08-22,809238,876968,10109314,523422,15394,908962
2020-08-23,1641401,830738,9385470,561472,16463,948440
2020-08-24,446548,960730,8927223,777910,20749,1421279
2020-08-25,247285,1002486,9005125,755044,20924,1450217
2020-08-26,609975,1014884,9004272,731417,19994,1475418
2020-08-27,142117,1048203,9105349,719422,20048,1434437
2020-08-28,114013,1397938,9915366,675373,18252,1320783
2020-08-29,466935,1152428,10167009,517304,15102,1024910
2020-08-30,513083,1065748,9514731,560154,15907,1183121
2020-08-31,93615,1497847,8833233,811982,18729,1548631
2020-09-01,74938,2513994,8270833,739770,18362,2527900
2020-09-02,80601,981576,7994108,734456,19095,8511346
2020-09-03,287008,972817,8780883,713648,19823,10084188
2020-09-04,247446,977097,9603070,695159,19015,5378651
2020-09-05,269126,926025,10595255,540959,16154,4181945
2020-09-06,522374,1017815,9632985,575491,16888,8417430
2020-09-07,226210,956584,8404955,787916,20083,11912077
2020-09-08,241178,1296407,8621288,764652,20208,12933640
2020-09-09,184519,1064300,8695450,764735,19366,13002346
2020-09-10,141719,991502,9069616,786801,19334,10427090
2020-09-11,182178,1023039,10051478,719803,18549,6308595
2020-09-12,445396,904196,10502916,524576,18042,4798825
2020-09-13,751040,1089233,9658013,592576,19255,9147750
2020-09-14,376817,985351,8609717,890796,22849,13315576
2020-09-15,149816,1009977,8631554,788473,23411,13719207
2020-09-16,148391,998224,8780964,763162,22869,13674076
2020-09-17,123866,1025658,9064736,762942,23758,12859351
2020-09-18,135437,1049316,10060812,733722,21291,7639151
2020-09-19,300056,957917,10916339,586165,19412,5080079
2020-09-20,792632,1001246,9888734,630870,20201,9221151
2020-09-21,149014,1345556,8643847,840555,23316,13805539
2020-09-22,128287,1068941,8608235,773982,22968,14114335
2020-09-23,110803,1086288,8704604,784681,23448,13878824
2020-09-24,154529,1119421,8936045,892329,22954,13227933
2020-09-25,143755,1265584,9841014,1034136,20197,8073102
2020-09-26,471562,1009651,10594712,844157,16395,4863916
2020-09-27,579940,1737339,9740570,885594,16221,9008401
2020-09-28,292850,1180467,8585750,1218400,20163,14127085
2020-09-29,162984,1414677,8639325,1223822,21156,14401186
2020-09-30,180894,2069449,8669805,1100423,20621,14241538
2020-10-01,163288,1704394,8929911,1190955,19650,13203537
2020-10-02,110935,1356868,10066554,1141279,18705,7413326
2020-10-03,303068,1073957,10692354,899558,16919,4422656
2020-10-04,536289,1451884,9849513,1026366,18090,7699382
2020-10-05,110936,2877724,8740721,1350016,20474,11385426
2020-10-06,97448,1082975,8621517,1389263,19877,12956847
2020-10-07,160207,1067033,8770918,1399151,19763,12997916
2020-10-08,222722,1071447,8988203,1465397,19193,12621874
2020-10-09,147236,1046179,10145752,1393071,18306,7884015
2020-10-10,159538,963792,10986047,1075036,15668,4966361
2020-10-11,277943,1123144,10042897,1262398,16975,8259591
2020-10-12,147315,1046537,8696169,1579740,19784,13294149
2020-10-13,168680,1083230,8686506,1486512,19463,14212607
2020-10-14,331730,1706422,8777914,1553242,18935,14186188
2020-10-15,175820,1039057,8991496,1473831,18980,13485179
2020-10-16,141675,1097385,10060141,1457943,18256,8588039
2020-10-17,775601,948890,10804075,1120351,16235,5584625
2020-10-18,630065,1127957,10116900,1207983,17239,8940339
2020-10-19,188853,1029673,8799904,1609368,19870,14311762
2020-10-20,396314,1232240,8791775,1773019,20478,15108493
2020-10-21,484820,1035984,8785181,1446665,20050,15024475
2020-10-22,257732,1057695,9097108,1398262,19770,13836384
2020-10-23,553795,1133298,10303156,1365367,18574,8392398
2020-10-24,5157766,1216869,11102550,1071943,16650,4721433
2020-10-25,2661991,2042119,10192042,1113338,17248,6400186
2020-10-26,635788,1103822,9131157,1538715,20757,10375486
2020-10-27,365801,1089943,9068507,1519190,20655,10853977
2020-10-28,517397,1370473,9000865,1547114,20155,10321141
2020-10-29,280336,1295662,9257399,1509504,19604,9165497
2020-10-30,164506,1536004,10248910,1388228,20200,6206203
2020-10-31,588735,1065718,10887422,1131180,16558,3708296
2020-11-01,932605,1146346,10073378,1201010,17225,4515458
2020-11-02,156447,1112949,9265244,1547851,20045,7837951
2020-11-03,223373,1202913,9836266,1394092,20171,6636301
2020-11-04,266723,2180439,10003792,1248977,18022,5720179
2020-11-05,206728,1186130,9306934,1496421,20175,9081904
2020-11-06,126432,1175246,10175386,1403897,19919,7063109
2020-11-07,460013,1432261,10686287,1122837,16639,5031975
2020-11-08,667330,1070251,9766344,1181021,17349,7168481
2020-11-09,115221,1193756,8757045,1481242,20501,14880452
2020-11-10,93199,2138696,8849719,1434149,20300,16288351
2020-11-11,102863,1205823,8847612,1402783,19602,16681349
2020-11-12,134927,1213178,9098066,1381830,19943,16051654
2020-11-13,94020,1229964,10338810,1263722,19196,11051564
2020-11-14,167209,1122587,11080050,1017445,17313,6407544
2020-11-15,264213,1128229,10166065,1066966,18552,9750311
2020-11-16,144391,1218545,8970001,1349729,20939,17748237
2020-11-17,160958,1304904,8962141,1242250,20913,18471517
2020-11-18,311100,1277630,9079382,1253749,20686,18209847
2020-11-19,299260,1401418,9312073,1200386,20551,17534130
2020-11-20,121043,1379778,10442356,1148719,19582,12046822
2020-11-21,478030,1663957,11261289,948413,17451,6902362
2020-11-22,441534,1930157,10440833,1000793,18667,10348479
2020-11-23,149554,1362813,9213448,1254405,22007,18280161
2020-11-24,276100,1379149,9221824,1172889,21744,18869333
2020-11-25,279887,1395921,9325122,1161777,21677,18901233
2020-11-26,202424,1424797,9547540,1150521,20780,17887186
2020-11-27,167685,1498321,10601495,1111987,20008,11878206
2020-11-28,651358,1687181,11424895,913956,17557,6948968
2020-11-29,1695406,3437727,10652513,932478,17741,10395525
2020-11-30,281974,1339190,9099385,1188470,21672,17998453
2020-12-01,261888,1704208,9273553,1186446,18090,18626479
2020-12-02,245896,1405434,9352723,1200169,17979,19524356
2020-12-03,209009,1630757,9574426,1243567,17473,17957690
2020-12-04,109329,1490500,10628447,1166526,16610,11881535
2020-12-05,590763,1260263,11409455,976725,14520,7204587
2020-12-06,494833,1313707,10680462,1041100,18466,10729566
2020-12-07,144455,1542870,9358601,1256333,22361,18079960
2020-12-08,507844,1423280,9378455,1211685,19415,18557912
2020-12-09,351361,1399572,9396961,1228072,18023,18477915
2020-12-10,148890,1421383,9556030,1166148,16703,17589181
2020-12-11,130775,1338794,10497348,1075100,18632,11633960
2020-12-12,602157,1286873,11226679,899606,16570,7237027
2020-12-13,691294,1332977,10467397,924871,17961,11027867
2020-12-14,168358,1394838,9423756,1186835,20889,18802724
2020-12-15,130808,1430383,9338053,1143571,20021,19111371
2020-12-16,301315,1404727,9371207,1128235,19750,19275502
2020-12-17,389319,1475292,9570398,1053865,18938,18497028
2020-12-18,138319,1422753,10724878,996021,18266,12652981
2020-12-19,239731,1681261,11476433,850224,16392,7538452
2020-12-20,278929,1478921,10618145,936765,17631,11054489
2020-12-21,118393,1512824,9414674,1200738,19217,18797303
2020-12-22,131969,1975282,9548324,1097676,18776,18856042
2020-12-23,152707,1560810,9572028,1018943,18286,17610112
2020-12-24,142945,1766628,10022040,1050147,17645,14877607
2020-12-25,122853,1792392,11080313,968680,16557,8971151
2020-12-26,287132,1364595,11695308,841956,14842,4321839
2020-12-27,135965,1501426,10847943,822896,15679,4582170
2020-12-28,197144,1701267,10160673,986125,16961,6593847
2020-12-29,137945,1979565,10457108,910788,16188,4188434
2020-12-30,163264,2916036,10960789,796588,14221,2228359
2020-12-31,267258,7074890,12325160,540328,9626,754260
2021-01-01,142430,2536673,14147421,672171,12783,807083
2021-01-02,218865,1123451,10567447,808636,19808,1226472
2021-01-03,289392,999993,9492165,818922,18135,1483341
2021-01-04,189420,994919,9091430,877529,19475,1798190
2021-01-05,326284,1070267,9088432,863088,20700,1971369
2021-01-06,301693,2636799,9579128,792150,19153,1973904
2021-01-07,151209,2751350,10194768,784860,19903,2067246
2021-01-08,127970,996870,9606784,868542,22007,2690896
2021-01-09,204026,990470,9814153,845684,18819,3180720
2021-01-10,196747,1025513,9115686,880490,21558,4808889
2021-01-11,98431,1178239,8454126,1086528,24369,10020560
2021-01-12,131105,1267906,8765571,1031769,25302,12110803
2021-01-13,186423,1970421,9272663,990093,23919,12875094
2021-01-14,172565,1202809,9289911,1059337,24897,12813880
2021-01-15,181932,1125616,10139724,995852,23571,7942128
2021-01-16,177165,1021222,11279845,755942,21644,5479726
2021-01-17,402231,1121140,10067439,776433,22142,9440287
2021-01-18,154659,1955326,8950443,1059455,25551,14702196
2021-01-19,133746,2192524,8950454,980073,25758,14944351
2021-01-20,201199,1148797,8955655,1058087,25686,14886635
2021-01-21,166783,1314630,9265526,1013876,25249,14026364
2021-01-22,189169,1133124,10256161,917377,24251,8582024
2021-01-23,404486,1022362,11160286,747834,20818,5874847
2021-01-24,1702928,1258686,10312568,723630,23232,9623639
2021-01-25,291103,3546464,9322453,902362,27066,14758500
2021-01-26,192420,1194576,9391638,878290,28798,15080565
2021-01-27,243205,1256706,9427830,907028,29160,14842220
2021-01-28,163325,1166973,9603273,884894,29721,13945251
2021-01-29,142867,1142027,10617877,841772,27244,8428499
2021-01-30,222105,1060140,11506306,649625,24577,5587571
2021-01-31,232608,1146657,10413709,679140,25447,9385532
2021-02-01,118057,1267297,9189490,860170,29566,14277090
2021-02-02,186294,1247744,9225177,834771,28666,14452539
2021-02-03,180255,1211696,9337077,833396,28642,14194480
2021-02-04,166509,1218169,9613888,810985,28007,13399919
2021-02-05,146611,1203939,10576103,743434,26284,8111077
2021-02-06,219040,1199588,11658553,593487,24031,5405645
2021-02-07,692215,1173437,10627777,613056,25628,9298326
2021-02-08,180331,1287354,9348768,803763,30502,14066174
2021-02-09,184895,1440155,9413459,778756,30093,13230030
2021-02-10,173573,1386863,9506322,776248,29726,13596484
2021-02-11,148462,1428677,9669044,744951,29205,13091000
2021-02-12,102482,1462457,10770693,681871,26978,7981732
2021-02-13,250008,1561305,11696238,535654,24608,5364657
2021-02-14,342522,3640254,11005786,539256,26050,8831230
2021-02-15,115610,1718518,9437906,726461,29958,13883510
2021-02-16,198590,1489456,9493411,713839,30625,14252614
2021-02-17,241639,1611723,9475458,687884,29820,14053101
2021-02-18,243686,1666598,9695459,698799,29687,13213811
2021-02-19,132046,1853151,10257092,639414,28527,10300323
2021-02-20,398707,1887072,11463869,589457,25430,5178674
2021-02-21,472602,1583653,11811416,496331,24425,3652479
2021-02-22,139875,2454050,11341042,503746,25394,4764185
2021-02-23,165596,7163058,11083280,508639,24896,7247038
2021-02-24,176243,1368836,9250455,706190,30450,13230566
2021-02-25,188681,1390909,9206982,707897,30249,13067311
2021-02-26,113886,1388021,10130977,659625,28130,8317524
2021-02-27,388980,1250366,11205548,513543,26406,5576282
2021-02-28,617501,1571615,10756512,541745,27785,9470838
2021-03-01,110456,2335099,9527294,706882,30329,14437811
2021-03-02,140059,1703012,9527003,708211,30367,15083946
2021-03-03,198496,1786918,9663467,714675,30211,14879402
2021-03-04,215912,2099345,10042844,662900,28611,13304832
2021-03-05,201212,2593082,11567729,603550,25715,6561813
2021-03-06,414120,1700763,12010692,481212,24053,3827442
2021-03-07,959919,3233165,12027059,462100,23713,4006969
2021-03-08,461111,8914710,11599851,438252,22208,7291975
2021-03-09,199072,1274214,9315606,691162,31349,14713138
2021-03-10,296798,1203604,9012882,670485,32387,15382608
2021-03-11,200330,1180937,9268653,666590,32597,14819420
2021-03-12,164186,1169710,10331547,620125,30091,9304788
2021-03-13,671981,1256861,11756777,492671,27552,6284881
2021-03-14,392148,3603205,10982417,542956,28560,10708224
2021-03-15,129215,1119561,9147858,695796,34586,16526943
2021-03-16,137741,1127625,9245994,668487,34867,16588826
2021-03-17,269934,1096812,9331013,652623,34903,15698882
2021-03-18,350481,1119800,9677700,654897,34785,13665656
2021-03-19,212070,1182468,10796130,628812,32114,7713009
2021-03-20,220893,1204857,11692732,501637,28946,4153062
2021-03-21,304230,1197634,10863913,537935,30645,5425306
2021-03-22,126021,1144944,9711843,722376,36250,8153625
2021-03-23,93156,1116958,9698083,722826,36013,8152793
2021-03-24,189517,1105855,9673022,720533,35077,7687536
2021-03-25,196111,1251402,9713651,719101,34445,7173148
2021-03-26,181310,1066192,10567271,667037,32391,5442529
2021-03-27,434226,1102991,11347798,520673,28606,4066321
2021-03-28,917438,980096,10504300,565835,30088,6117454
2021-03-29,194929,1026065,9269889,744370,36624,10538829
2021-03-30,308157,1103347,9303534,766515,36465,11994485
2021-03-31,268144,1163958,9419233,762090,35279,12913901
2021-04-01,495319,1627936,9417331,808654,33433,13103888
2021-04-02,445217,1078347,10496801,743268,31894,8454002
2021-04-03,896701,986335,11507851,602476,27842,5529579
2021-04-04,1141883,1153562,10714591,620496,29197,9729227
2021-04-05,756946,1076367,9254609,814184,34386,14748112
2021-04-06,628912,1177834,9373699,791133,34001,15411132
2021-04-07,917831,1860544,9569321,819941,32745,15144956
2021-04-08,761792,1130299,9779383,812619,31954,14553594
2021-04-09,553427,1069344,10793366,837307,30109,9147380
2021-04-10,967687,1068215,11451583,687161,24923,5504129
2021-04-11,1057552,1031309,10496445,661626,24689,9610256
2021-04-12,669634,1456861,9163170,1059297,30578,15262726
2021-04-13,649953,1100156,8915818,962512,35826,15760225
2021-04-14,711391,1034776,8885166,865739,37109,14969134
2021-04-15,591405,1030563,9105357,819616,34866,14006544
2021-04-16,479041,1028244,9987968,731280,31676,8838469
2021-04-17,779995,960912,11227202,555399,25404,5140413
2021-04-18,1209363,951434,10291925,599704,26229,9209733
2021-04-19,481124,1093623,9219845,772128,33045,15431953
2021-04-20,475320,1134185,9237067,793512,33432,15904448
2021-04-21,591464,1253730,9195979,816092,31250,15375892
2021-04-22,496166,1160671,9495078,752397,30238,14481687
2021-04-23,454472,1067396,10278548,800942,29610,8908554
2021-04-24,852547,1199010,11244219,626450,26099,5351328
2021-04-25,1003618,2778757,10690461,692992,26308,9251350
2021-04-26,521713,1175621,9221825,951413,30389,15287257
2021-04-27,563747,1243085,9234614,906697,30321,15777654
2021-04-28,727457,1392486,9155942,849619,28387,15279561
2021-04-29,556297,1739491,9231974,801341,26977,13928994
2021-04-30,431134,1457297,10303624,740777,24109,6843738
2021-05-01,646969,2335867,10913084,548547,19706,2058143
2021-05-02,732377,3770625,11838980,532503,19951,2130700
2021-05-03,587388,975109,9898154,592487,23482,3857854
2021-05-04,549482,1029774,9445676,645953,26630,4362819
2021-05-05,599440,1101928,9355276,622394,26374,4453404
2021-05-06,627331,1069382,9355892,610520,27016,4415188
2021-05-07,569226,1154305,9787337,552944,24692,4083535
2021-05-08,859629,1265368,10582266,497199,23060,3951562
2021-05-09,518586,2934685,11690394,474077,19690,3924701
2021-05-10,861635,929798,9072933,567777,23445,8345318
2021-05-11,462818,1148470,8091492,699372,27304,13595873
2021-05-12,615894,1593368,8180713,695581,29086,14146325
2021-05-13,537071,1487798,8693280,669356,29564,14374545
2021-05-14,417021,1064551,9632146,680626,27984,9934916
2021-05-15,577372,1241406,10468387,507979,22627,5666944
2021-05-16,1006290,972258,9661455,533907,23849,9414653
2021-05-17,449685,1110091,8838289,745240,32019,15961678
2021-05-18,458976,1224329,9173988,728151,33530,15522391
2021-05-19,548388,1506106,9765872,706026,33690,14511151
2021-05-20,482564,1329256,9955226,717726,33530,12661319
2021-05-21,838764,1447355,10907490,656924,30929,7278501
2021-05-22,986348,1385159,11337701,484581,24683,3597062
2021-05-23,1009167,975010,10761998,521644,26046,5754853
2021-05-24,1010397,1203008,9439709,709249,34998,9889161
2021-05-25,810969,1277167,9377278,721251,34965,9292531
2021-05-26,1017663,1309500,9368353,705235,34967,7716944
2021-05-27,941915,1445521,9575551,680190,34058,6718944
2021-05-28,817560,2041916,10621838,646297,30575,4564882
2021-05-29,1199238,999517,10922625,496202,25987,2877632
2021-05-30,1013876,1008715,9971972,554648,27771,3126335
2021-05-31,1182101,1300950,9245473,777186,35682,4392355
2021-06-01,1752926,2066205,9160102,722982,39143,4181325
2021-06-02,974624,1054382,9237535,672157,39979,4387709
2021-06-03,1279430,1161896,9347861,654064,38470,4239221
2021-06-04,756111,1047803,10230434,607784,34751,3506888
2021-06-05,779664,884356,10888082,477875,26927,2553335
2021-06-06,814255,903569,9997876,511174,29386,2838520
2021-06-07,663348,1009357,9131958,704817,38338,3908252
2021-06-08,517155,1198471,9226233,709765,37812,3801468
2021-06-09,495825,1398738,9317745,762546,36326,3792607
2021-06-10,513857,1342742,9584984,819281,36518,3662702
2021-06-11,917670,1071364,10351974,804788,31974,2846052
2021-06-12,2063175,1619143,10589168,869011,24350,1660727
2021-06-13,1872639,788373,9817834,1010994,24373,1973261
2021-06-14,1167009,837469,8992049,1069406,27484,2795964
2021-06-15,1349305,961813,8589234,1349900,33078,3396223
2021-06-16,2185944,976201,8635233,1496363,32508,3181510
2021-06-17,1494497,1006939,8865837,1611230,31767,3047611
2021-06-18,1250987,1078797,9549181,1821960,29073,2634710
2021-06-19,1394390,1120431,9891701,1297086,26827,1692119
2021-06-20,1203575,2834338,9389507,1288575,27957,1694047
2021-06-21,2214709,1021079,8526154,1956021,35939,2758772
2021-06-22,1725074,972864,8544544,1983388,37034,2747932
2021-06-23,1462989,905244,8396804,2074102,35678,2511703
2021-06-24,954446,926122,8614244,2465857,34303,2426971
2021-06-25,480905,966991,9515152,2349440,30794,2182613
2021-06-26,880900,828147,9914025,1514593,26056,1410149
2021-06-27,1230703,1137149,9148835,1462265,27648,1365608
2021-06-28,1398435,866578,8445630,2302841,34888,2113090
2021-06-29,1765797,893355,8634195,2247954,33625,1866755
2021-06-30,1006502,921486,8757211,2097415,33032,1698227
2021-07-01,499146,978426,8845277,2135454,32726,1547434
2021-07-02,1247786,898643,9531180,1987467,31026,1367619
2021-07-03,1421226,900378,10099674,1451958,26110,956681
2021-07-04,830443,806289,9544331,1427304,28152,980162
2021-07-05,497884,866503,8756557,2028377,34954,1356248
2021-07-06,1109856,974505,8881596,1930957,35174,1336484
2021-07-07,1385828,1222434,9012362,1838161,35312,1301179
2021-07-08,984343,2358459,9214163,1691079,34861,1255032
2021-07-09,491033,886698,9885970,1617281,33864,1148669
2021-07-10,681385,770094,10079209,1216507,27673,851964
2021-07-11,2806375,932556,9279363,1191281,30087,895788
2021-07-12,1329262,1084711,8536329,1615308,38283,1253566
2021-07-13,368870,839123,8673301,1576621,40755,1296030
2021-07-14,361353,851175,8759533,1490810,40695,1306259
2021-07-15,321428,883529,9088816,1474659,38686,1305707
2021-07-16,290321,862523,9835674,1457883,36520,1214022
2021-07-17,417901,772031,10205056,966023,34649,887180
2021-07-18,496014,792785,9363221,931582,32137,899445
2021-07-19,351325,887748,8594674,1256284,40601,1300822
2021-07-20,304213,1209495,8676438,1176162,39243,1326065
2021-07-21,309613,1080451,8785031,1201010,40845,1385980
2021-07-22,352197,873551,9041005,1147795,40385,1392467
2021-07-23,460910,962663,9714791,1062877,37154,1257174
2021-07-24,788334,1214218,10157550,836728,31067,911243
2021-07-25,776903,1298311,9414954,824392,32504,888297
2021-07-26,752808,847985,8522322,1134957,41304,1323870
2021-07-27,753815,863249,8568010,1103730,41897,1317213
2021-07-28,763296,962090,8715076,1090321,42015,1361096
2021-07-29,734284,887161,8870756,1094343,42121,1289727
2021-07-30,1134506,1197389,9719444,1033294,39248,1169143
2021-07-31,909571,855747,10148317,785284,31789,888323
2021-08-01,1000159,1403379,9520035,800087,33799,914315
2021-08-02,833231,1654540,8964035,1058743,42824,1287330
2021-08-03,848423,897575,8754474,1048441,43581,1350360
2021-08-04,1025226,905959,8902629,1044840,43965,1363701
2021-08-05,1058278,928085,8999167,993720,42869,1349733
2021-08-06,999211,1024231,10177167,924693,40705,1264070
2021-08-07,1603118,896620,10536414,744154,33825,971427
2021-08-08,1234225,1299477,9623084,712541,35056,996015
2021-08-09,478634,914409,8170984,906284,41064,1287567
2021-08-10,410002,929103,8956089,936126,46068,1429067
2021-08-11,446257,1000845,9183476,934744,46475,1483920
2021-08-12,373448,1035213,9301493,883730,44200,1446720
2021-08-13,385300,964123,10121643,837002,40679,1309241
2021-08-14,820563,1449459,10613800,667293,34042,999314
2021-08-15,690397,840799,9817288,662129,34539,1025755
2021-08-16,457699,896587,8924653,884125,43887,1489067
2021-08-17,434021,915373,8964659,848229,44167,1491525
2021-08-18,389103,993574,9086439,848087,43867,1516328
2021-08-19,334336,1626729,9267527,814644,42742,1492776
2021-08-20,357153,967978,10114560,767211,40237,1355468
2021-08-21,762942,920474,10462920,593058,32745,998477
2021-08-22,804677,835003,9637241,594220,33922,1078601
2021-08-23,457687,915653,8913601,788603,42790,1564383
2021-08-24,353247,944900,8957401,771397,42824,1608357
2021-08-25,390281,949277,8986691,754059,41763,1599285
2021-08-26,903618,974848,9200681,757636,40445,1634787
2021-08-27,756515,1000396,10037022,688306,38030,1513284
2021-08-28,693153,1198089,10558825,547550,31196,1141957
2021-08-29,723211,1144049,9581075,554923,32580,1272153
2021-08-30,432318,1047792,8900502,734477,41560,1756662
2021-08-31,360294,1530531,9108844,732170,41631,1934435
2021-09-01,1047100,2687174,8754332,672948,39027,2718846
2021-09-02,948820,987526,8716347,688375,41065,7769026
2021-09-03,573064,1017715,10614148,648324,39705,5113327
2021-09-04,1036426,889748,10880310,498523,33465,3904204
2021-09-05,965017,1014114,9861505,513115,34828,7289501
2021-09-06,594975,926281,8487208,659527,42337,11587502
2021-09-07,905770,995696,8682671,654944,42856,12498347
2021-09-08,826772,1281486,8789492,650656,42418,13100443
2021-09-09,496284,1033273,9109588,654744,42002,12457733
2021-09-10,470730,974963,10208222,631188,40392,6754885
2021-09-11,1253921,937917,11152631,522894,32457,4514992
2021-09-12,913276,991074,10327607,546244,34057,8776710
2021-09-13,642473,1115555,9108653,722266,42875,13718339
2021-09-14,1052847,1001112,9225936,724565,43084,13432586
2021-09-15,1062499,1012591,9294146,755742,42537,13211861
2021-09-16,663943,992028,9739367,763491,47560,9181096
2021-09-17,485612,1007940,10839665,737083,42159,6820989
2021-09-18,790347,903993,11337163,621588,34011,5074044
2021-09-19,1024707,969407,10512905,754559,37265,8724262
2021-09-20,985421,1036297,9175042,1018358,41917,13788444
2021-09-21,567885,1325746,9324602,830037,42864,14702317
2021-09-22,629354,1086454,9438872,817980,45565,14761106
