ds,1,2,3,4,5,6,7,8
2017-04-17,59179,57600,60777,65725,32470,92,44225,74116
2017-04-18,60415,58652,60128,63661,32798,89,47561,75743
2017-04-19,58149,56462,59141,59283,31497,85,45877,76961
2017-04-20,55134,53640,55803,52451,29636,79,44982,72721
2017-04-21,45028,46455,48145,39409,23532,72,37578,61911
2017-04-22,27747,28358,39731,33334,15077,67,10593,23445
2017-04-23,37350,33886,47097,52123,20740,84,11811,24453
2017-04-24,56011,53641,57398,55856,30147,84,44231,72003
2017-04-25,54062,52102,52807,53417,29582,81,42357,68868
2017-04-26,54214,52188,51948,50655,28950,76,44506,71762
2017-04-27,50278,48943,48411,44734,26868,73,43255,70891
2017-04-28,37457,40402,39879,29635,20413,63,33957,57893
2017-04-29,19207,21256,28436,20129,10749,52,7582,17021
2017-04-30,20246,21659,29826,25421,11243,57,5994,14751
2017-05-01,26877,25374,34123,34545,15393,62,7681,18865
2017-05-02,46789,46484,47960,47453,25642,75,36536,72404
2017-05-03,50663,71422,50913,48429,27424,79,38151,70470
2017-05-04,48275,47750,47771,44943,26323,76,36925,65743
2017-05-05,36367,38642,38776,30795,19792,63,28994,55888
2017-05-06,20778,24710,30111,22504,11523,57,6591,16750
2017-05-07,21765,22714,32887,30126,12577,63,5709,14232
2017-05-08,25547,26936,36785,36199,15051,70,6626,15662
2017-05-09,28033,26655,35796,37800,16513,72,6647,15959
2017-05-10,53653,50038,54328,57261,29064,86,36319,71946
2017-05-11,57043,53701,56693,56612,30934,86,39762,72373
2017-05-12,46573,46683,47050,43161,25375,76,34320,73487
2017-05-13,29213,28251,36054,36079,16597,65,8241,21429
2017-05-14,39709,33249,42476,55861,22262,77,8598,21225
2017-05-15,59300,54465,56036,63899,33217,84,38441,69463
2017-05-16,62746,56818,55869,64257,34072,84,40844,68946
2017-05-17,63128,56472,55470,62933,34520,84,41104,67977
2017-05-18,58950,54046,50820,58314,32909,77,40588,64990
2017-05-19,45441,44485,43257,42112,25694,66,32723,53905
2017-05-20,26811,25653,31647,33430,15850,58,6829,17068
2017-05-21,39509,33819,41671,58012,23146,73,8419,19685
2017-05-22,60575,56284,56022,66993,34688,87,39883,67315
2017-05-23,60652,57514,54856,65086,35060,82,42069,69056
2017-05-24,56165,54406,51517,57212,32953,77,39616,65296
2017-05-25,52985,51094,48148,50898,30421,72,38336,65852
2017-05-26,42199,43445,42243,37560,24324,64,32295,54281
2017-05-27,25706,25958,32344,30238,15299,55,6885,17077
2017-05-28,35376,32890,40397,55355,21965,73,8275,19797
2017-05-29,55853,54580,53093,65495,31970,85,39957,70184
2017-05-30,55998,54541,53264,60467,31946,82,42548,73370
2017-05-31,54967,54185,50902,54251,31248,75,42818,73889
2017-06-01,51705,51785,50181,49436,30055,75,39574,66685
2017-06-02,43389,45458,45352,38276,24259,69,33591,57134
2017-06-03,26675,27998,35741,27012,15708,65,7630,19062
2017-06-04,34002,32567,42792,42034,20654,73,8666,21273
2017-06-05,53795,54160,55069,55367,31101,84,39310,67489
2017-06-06,54616,54685,52861,52752,31426,81,41615,68524
2017-06-07,53418,53596,50117,50234,30359,74,39340,67630
2017-06-08,51517,51112,49199,46443,29542,72,38563,64934
2017-06-09,39746,42322,40509,32442,22119,75,30422,54495
2017-06-10,22003,23980,31557,19688,12647,58,6459,16913
2017-06-11,22766,24515,33174,23414,13243,64,5654,15061
2017-06-12,32422,32215,39410,35350,19229,72,8149,19780
2017-06-13,52217,52651,51722,48249,29054,85,38026,68810
2017-06-14,54846,54289,51002,48231,29367,81,39783,70716
2017-06-15,51206,50537,48084,43823,27267,78,38671,68688
2017-06-16,40986,43175,41411,32815,21766,69,32077,55836
2017-06-17,23311,24902,29473,20290,12912,60,6881,17186
2017-06-18,29730,29170,35460,28349,16455,69,7606,18161
2017-06-19,51265,49874,49656,39497,26023,82,38053,64031
2017-06-20,50634,50240,48273,38329,25675,78,40955,66004
2017-06-21,49664,48962,47443,37129,24853,80,39846,62731
2017-06-22,47474,47287,44699,32509,23530,78,38705,60363
2017-06-23,38312,39478,39193,24074,18653,70,31289,51529
2017-06-24,21192,21724,29559,13897,9606,59,6897,15376
2017-06-25,26782,25472,35565,20439,12536,73,7666,17207
2017-06-26,45599,45091,46455,29340,20714,85,37905,61713
2017-06-27,46312,44949,46890,27853,20503,79,41146,66139
2017-06-28,43666,43446,43093,25660,18905,77,40471,64854
2017-06-29,40423,41090,39785,21849,17543,74,38861,63596
2017-06-30,33004,35452,36286,15119,13849,70,32468,55030
2017-07-01,18357,19663,28453,8361,6831,62,7538,19532
2017-07-02,23152,22172,34428,11877,8612,76,8135,18762
2017-07-03,40087,40811,44921,18098,16182,90,38331,63924
2017-07-04,41102,42137,45365,17653,16537,88,40906,63988
2017-07-05,40012,41759,45023,17712,16056,86,38932,63073
2017-07-06,38422,41161,44177,17402,15295,82,38777,60479
2017-07-07,31356,34771,37341,13138,13103,75,31589,50815
2017-07-08,17184,20015,29078,7868,6891,65,7289,15805
2017-07-09,20409,21614,33173,10548,7950,71,7717,16693
2017-07-10,36604,40255,43346,15854,15139,84,37760,61590
2017-07-11,36387,40519,42364,15359,15185,80,39166,61922
2017-07-12,36574,40823,41951,14951,15137,79,39038,60042
2017-07-13,34798,39690,41799,14234,14594,80,37822,59000
2017-07-14,28672,34276,35052,11736,12142,71,30623,49661
2017-07-15,14949,18012,24949,6235,5854,59,6599,14565
2017-07-16,17031,19018,28969,8502,6454,67,7132,15308
2017-07-17,33045,38169,41004,14223,14061,80,36054,55393
2017-07-18,34507,39770,41876,14224,15029,78,38188,57099
2017-07-19,34673,40291,42250,14612,15003,80,38238,57635
2017-07-20,32611,39284,40271,13821,13685,79,37118,55923
2017-07-21,26822,33200,36013,11444,11912,69,30091,45387
2017-07-22,15018,18802,27798,6648,5804,59,6653,14079
2017-07-23,17483,20150,31935,9099,6917,68,7507,15357
2017-07-24,33286,39142,44514,14371,14303,86,37220,56650
2017-07-25,34029,40788,44001,14981,14855,79,38621,62793
2017-07-26,33318,40070,41905,14256,14772,78,37152,58740
2017-07-27,31434,38155,39825,14071,13628,76,35410,56856
2017-07-28,25664,32821,34199,10623,11218,70,29189,48576
2017-07-29,14050,17540,26312,6677,5281,62,5856,13953
2017-07-30,17015,19498,30897,9520,6375,72,6538,16589
2017-07-31,32698,38399,44579,15277,13629,88,36049,63325
2017-08-01,33481,50127,43302,16068,14122,82,35965,63066
2017-08-02,33270,48643,42724,16285,14235,81,35211,57115
2017-08-03,32377,49051,41506,16115,14041,77,34241,55409
2017-08-04,27033,45258,37077,13335,12025,76,28479,48187
2017-08-05,14409,19038,27584,7688,5601,64,5836,14372
2017-08-06,17243,21817,33290,11554,6788,73,6175,15831
2017-08-07,32631,56450,45414,18914,14386,87,33054,55528
2017-08-08,34652,60751,46250,19445,15565,86,35611,57739
2017-08-09,33647,58138,45111,19969,14592,81,35326,57250
2017-08-10,32670,50046,42991,19109,14820,79,33936,58096
2017-08-11,27204,52256,37925,14754,12383,73,27523,46656
2017-08-12,14676,35467,28759,9428,5882,62,5666,14419
2017-08-13,17239,40089,34362,13883,7137,71,6101,15980
2017-08-14,33511,57564,45800,22837,14962,81,33408,55687
2017-08-15,34653,50493,44680,23758,15211,81,35338,57456
2017-08-16,34459,59148,44585,23581,14525,79,35236,53657
2017-08-17,33490,57231,42967,23568,14386,79,33726,51543
2017-08-18,28035,47292,37046,19151,12182,72,27849,43485
2017-08-19,13941,33647,28516,11612,5558,59,5427,14074
2017-08-20,17413,35768,33878,17155,7083,73,5945,14755
2017-08-21,35075,57308,45558,30241,14764,87,33764,53278
2017-08-22,36936,61671,47583,31353,15771,89,35556,54569
2017-08-23,37863,63059,48471,32973,15426,90,36277,54935
2017-08-24,36440,60712,46370,31969,15468,79,34992,52955
2017-08-25,30783,55270,40331,24066,12888,73,28472,46556
2017-08-26,16846,38876,30750,16486,6535,65,5755,14266
2017-08-27,19527,39512,35838,25638,7566,73,6310,15690
2017-08-28,38508,58735,49351,38972,15697,86,34732,56826
2017-08-29,41672,58745,48562,40246,16565,85,37109,60193
2017-08-30,40051,41702,44443,39657,15823,77,36463,58345
2017-08-31,38552,38127,40664,30794,14334,74,35139,55807
2017-09-01,30860,31652,33635,19283,11493,64,23276,38557
2017-09-02,21187,19446,28904,19656,6344,61,5845,14184
2017-09-03,26906,22554,34380,32867,8484,69,6391,15632
2017-09-04,49194,42343,46345,45215,16776,82,34046,54620
2017-09-05,52376,45496,47259,47922,18648,82,36191,58767
2017-09-06,53187,45589,47702,49380,19350,81,36628,57331
2017-09-07,50875,43987,45991,47402,18750,78,36151,56375
2017-09-08,40879,39622,40367,35106,16323,70,29748,50438
2017-09-09,24170,22088,30544,26001,8869,61,6243,15575
2017-09-10,34130,24153,35998,41849,11746,73,6969,16337
2017-09-11,53874,45693,49576,54925,20596,90,34891,59239
2017-09-12,54534,47116,48913,55863,21603,86,37076,61580
2017-09-13,54938,46558,48153,53718,21771,83,37130,58184
2017-09-14,52245,46920,46767,51663,21657,80,36239,57433
2017-09-15,41382,41519,40844,38789,17447,75,30287,48710
2017-09-16,23107,23040,30934,28345,9670,63,6257,15064
2017-09-17,33244,26616,36824,47430,13173,77,7219,16764
2017-09-18,53517,48223,51479,58504,22981,91,36964,60122
2017-09-19,56056,50026,52165,58455,23825,89,38982,62589
2017-09-20,54234,48837,49806,55038,23445,85,38170,59797
2017-09-21,53123,47472,48722,52516,23559,79,37466,57689
2017-09-22,42608,41510,42392,39644,18988,74,31239,48504
2017-09-23,24436,24122,32491,30226,10162,69,6495,16056
2017-09-24,34260,27286,38890,49916,14104,80,7460,18111
2017-09-25,54415,48450,52072,57824,24101,85,37298,61659
2017-09-26,56417,50509,52432,55163,24707,87,40675,63852
2017-09-27,55717,49406,51221,48273,24727,84,40896,62557
2017-09-28,52714,47043,48314,48318,23293,78,39394,61427
2017-09-29,42230,40765,42238,36044,19487,70,33169,53452
2017-09-30,24927,23920,33136,30875,11190,65,7498,17951
2017-10-01,34961,28702,39866,49468,15262,77,8199,20629
2017-10-02,54980,49360,52142,61619,24262,83,37489,61642
2017-10-03,57145,50887,52095,61050,25324,81,39319,63865
2017-10-04,55160,50911,51769,57643,25671,83,39805,63402
2017-10-05,51496,49551,50850,48880,24177,82,39194,62451
2017-10-06,42700,43549,45518,40495,20396,76,33701,54036
2017-10-07,26303,25205,35337,34753,11707,67,8132,19390
2017-10-08,35941,29599,42640,55715,16120,83,9139,21479
2017-10-09,57942,52716,56311,66585,26962,91,39837,67277
2017-10-10,58713,53029,55372,65487,27926,86,42291,70628
2017-10-11,58083,52633,54599,64068,27363,85,41655,67702
2017-10-12,57417,51450,53422,60706,26761,82,41696,67129
2017-10-13,45958,45177,45534,45958,22104,73,35677,59359
2017-10-14,28207,26502,37165,38780,13089,68,8670,21146
2017-10-15,38658,31443,45696,60245,17958,83,9974,23212
2017-10-16,59060,53731,56970,72907,28063,90,42266,67618
2017-10-17,61137,54587,56949,73161,28886,83,43940,68507
2017-10-18,59885,54967,56409,68654,28235,86,43952,68470
2017-10-19,58268,53964,54956,64936,28327,82,43800,66209
2017-10-20,48282,46378,47763,49658,22682,74,36754,56341
2017-10-21,28332,27330,37843,38314,13156,67,9399,20519
2017-10-22,39121,32142,46127,59203,18339,83,10378,22707
2017-10-23,60264,56025,58288,71097,29613,90,43336,81610
2017-10-24,61170,56065,57705,68461,30222,88,45834,71769
2017-10-25,59460,53552,54691,63894,28894,83,44635,72578
2017-10-26,56247,53058,54223,58296,28133,81,42973,70295
2017-10-27,44870,45514,46498,44807,22461,76,36652,60421
2017-10-28,27785,27413,38172,37517,13122,65,9426,22623
2017-10-29,36752,32359,47928,63309,18337,87,11571,26066
2017-10-30,58237,55767,60662,78403,29137,92,45014,77388
2017-10-31,59197,56514,59545,75807,29913,88,47702,80131
2017-11-01,56502,54607,55804,72764,28290,86,43128,72167
2017-11-02,52934,53461,53380,64150,26327,85,41788,68901
2017-11-03,39866,43062,45229,42472,19201,74,31427,55937
2017-11-04,25605,25670,37247,32834,11372,65,7214,19145
2017-11-05,30519,28615,43141,46597,14622,79,6963,19641
2017-11-06,43042,36619,51627,67082,21081,91,11183,26486
2017-11-07,62660,55631,61689,73993,29182,94,41934,72279
2017-11-08,64851,57440,61646,71919,30656,95,45104,77188
2017-11-09,62450,57995,59503,65173,30156,90,44569,75511
2017-11-10,48244,50020,50614,49286,24705,81,36239,63961
2017-11-11,29746,30130,42121,39966,14944,73,8980,23268
2017-11-12,42439,37204,52087,63923,21008,93,10478,26324
2017-11-13,63378,59557,64722,72731,31625,97,43890,74833
2017-11-14,64484,61076,64469,72206,32796,97,46858,76964
2017-11-15,61887,59256,62310,65115,31873,90,46193,75194
2017-11-16,60182,56892,60229,61004,30798,85,45096,71665
2017-11-17,48481,48784,51395,46072,24646,80,38212,60294
2017-11-18,30806,30018,42144,38437,15321,74,9202,22055
2017-11-19,42584,35928,51891,62409,21904,90,10649,24759
2017-11-20,62632,58848,64040,68834,32116,95,45160,73307
2017-11-21,63424,58803,62679,67281,32251,94,46272,73256
2017-11-22,62222,57820,58741,62153,31269,86,46419,71817
2017-11-23,58472,55793,55653,56044,29845,80,45469,70794
2017-11-24,46900,47628,48178,41301,23589,70,37368,60310
2017-11-25,28916,28793,39106,35319,15163,67,8853,21623
2017-11-26,39773,34602,48393,55444,20857,80,10088,23722
2017-11-27,60497,56303,60480,68548,31307,89,45673,74998
2017-11-28,62536,58475,60306,67036,32941,86,48543,80867
2017-11-29,62258,58248,59570,65222,32281,82,48853,81597
2017-11-30,58942,55711,54965,56257,31524,79,47172,81802
2017-12-01,46745,48413,48028,42601,24480,71,38269,65624
2017-12-02,31680,31257,40224,38208,15812,67,9955,24092
2017-12-03,42827,36985,50000,57984,23002,85,12065,27941
2017-12-04,61963,58556,60485,65431,32561,90,46298,78256
2017-12-05,63385,60009,59474,65538,33657,85,49042,80168
2017-12-06,63023,58572,55913,60835,32398,82,48221,77074
2017-12-07,61191,56063,54315,58051,31467,78,47080,75642
2017-12-08,48828,49122,47655,41527,25542,71,40034,66280
2017-12-09,31320,31762,40429,35582,16849,70,10318,24648
2017-12-10,44499,39285,49214,57153,24579,84,11057,26867
2017-12-11,63194,59626,60129,64427,33616,88,46373,77820
2017-12-12,64556,60437,58782,63320,33664,87,48776,79286
2017-12-13,62908,57881,56402,59170,33478,84,48325,80676
2017-12-14,60632,55777,53087,55075,32578,76,46665,78090
2017-12-15,47298,46725,45848,41488,25021,66,39337,70335
2017-12-16,30482,29511,38147,32823,16344,65,9862,24244
2017-12-17,42677,36903,46444,51127,23132,79,11017,25597
2017-12-18,61299,56388,56850,57910,33069,84,45736,75500
2017-12-19,61239,56200,55093,55353,33585,80,47397,77619
2017-12-20,59484,53795,52348,50779,31846,74,46825,76754
2017-12-21,54953,49994,48846,45743,29203,69,44978,73021
2017-12-22,42052,41704,40351,31789,22493,62,36920,60461
2017-12-23,25461,25645,33398,23597,13763,55,9223,22745
2017-12-24,35322,30512,39954,35738,18678,66,10422,23530
2017-12-25,47191,45163,45754,40035,26496,67,42616,70446
2017-12-26,43640,42964,41806,34624,23763,65,42637,70754
2017-12-27,38090,39484,38285,30744,20538,59,38781,66134
2017-12-28,29951,34738,34486,23626,15797,55,34391,59539
2017-12-29,18994,26795,28639,14490,9653,51,21171,45841
2017-12-30,10405,19540,25051,5880,4607,44,4752,15423
2017-12-31,6435,15211,18296,2767,2784,33,2280,8762
2018-01-01,9682,15780,25388,8439,3766,51,2639,15256
2018-01-02,15704,23939,38496,17748,6444,78,4779,20372
2018-01-03,18145,27819,44461,22649,8261,83,6665,23201
2018-01-04,20513,29581,48000,25457,10043,87,8593,25409
2018-01-05,22549,29833,47700,28748,10250,89,9277,25855
2018-01-06,20837,28151,46086,25439,10277,86,7583,22339
2018-01-07,23571,28548,50825,29359,10744,98,6582,22098
2018-01-08,33152,38072,60818,44289,16112,111,11950,35533
2018-01-09,52992,56038,71669,62052,25120,115,41091,105355
2018-01-10,58363,62715,70935,65036,27367,115,46106,135124
2018-01-11,59327,60409,68154,61997,27832,106,45956,107804
2018-01-12,50605,52732,58898,48461,24541,97,40290,88273
2018-01-13,30543,35405,47730,35884,14060,86,10632,33381
2018-01-14,40246,37051,55351,57551,19130,99,12283,37742
2018-01-15,64056,61453,69632,67130,30754,109,45595,98966
2018-01-16,66619,65241,69846,68399,31961,106,47668,97727
2018-01-17,65742,64923,68530,66778,31797,111,47892,94867
2018-01-18,64373,62415,63346,61525,31181,95,47225,89805
2018-01-19,52270,50078,53378,46677,26048,85,40171,76895
2018-01-20,33117,30449,45036,41130,15574,81,12129,30641
2018-01-21,43996,35165,54533,62859,19954,97,13278,32459
2018-01-22,65892,61024,66682,72334,31770,108,47816,92057
2018-01-23,67261,60836,66844,72015,32990,101,51147,94647
2018-01-24,66309,61062,66419,67872,32514,104,50540,93531
2018-01-25,62568,57966,62053,62047,29931,99,48523,93255
2018-01-26,52368,50580,56426,47818,24948,90,41874,81888
2018-01-27,31910,30200,46175,38468,14454,83,11128,29497
2018-01-28,40786,35052,54602,58824,18933,100,12187,32275
2018-01-29,65123,60009,68879,66870,30131,108,49400,100721
2018-01-30,66731,62402,66822,63034,31348,101,53297,107692
2018-01-31,63931,59482,63820,60211,29347,98,52214,103860
2018-02-01,61456,58308,61718,55259,28177,96,49347,98555
2018-02-02,50072,51651,54544,43044,23673,87,41342,81334
2018-02-03,30909,33037,45356,36017,13122,82,11253,30655
2018-02-04,40539,38145,52456,55538,17880,98,12222,33276
2018-02-05,62262,61111,65027,65634,28698,106,46666,94251
2018-02-06,64137,61058,64839,63646,29387,99,50227,98303
2018-02-07,64778,63714,63974,60955,29677,100,50339,99185
2018-02-08,60643,58222,59740,55622,27945,92,49612,92121
2018-02-09,48819,50616,51821,42426,23068,82,41068,80493
2018-02-10,30277,30348,41925,35374,13435,73,10939,28925
2018-02-11,39338,34939,49712,54325,17877,90,11808,31602
2018-02-12,60171,59293,60972,62093,28354,93,46546,89342
2018-02-13,61338,59500,60055,60912,29285,93,49258,90499
2018-02-14,57449,56356,55462,54171,27427,83,47161,85073
2018-02-15,57467,57527,57149,51149,27666,86,47068,87917
2018-02-16,47208,50511,50520,38930,23524,80,39731,75961
