ds,1,2,3,4,5,6,7,8
2018-04-10,62586,59052,56486,63518,32951,101,47300,86516
2018-04-11,62016,58726,55690,60526,32890,103,47452,84996
2018-04-12,59822,56884,53185,56001,32269,92,46331,81324
2018-04-13,48962,48248,44901,42457,26126,84,38750,70145
2018-04-14,28626,27483,34504,32790,15789,70,9804,23607
2018-04-15,37776,32210,41140,52556,21015,87,10797,24943
2018-04-16,58255,56142,53483,58475,32141,95,43904,76360
2018-04-17,58601,57201,53584,58467,32720,96,43431,72740
2018-04-18,62355,58248,55657,60080,34340,98,48215,79308
2018-04-19,60027,57422,54867,55691,33778,92,48199,78897
2018-04-20,48287,48813,47116,41984,27900,87,40274,68190
2018-04-21,29618,28423,36955,32644,16385,74,10612,24729
2018-04-22,40734,34834,46492,54306,22595,93,12285,27564
2018-04-23,61917,58048,57924,61032,32684,104,48505,84374
2018-04-24,62849,58441,56406,59548,32568,98,51270,87019
2018-04-25,60329,56245,53331,53906,30899,92,49105,85089
2018-04-26,56843,54418,51786,49497,29853,89,47950,82162
2018-04-27,47738,47335,45467,38472,24091,82,44011,76593
2018-04-28,33260,35653,36443,26070,17725,75,29924,56402
2018-04-29,21812,22692,30356,21045,11321,69,6865,18713
2018-04-30,22515,23832,30920,25501,11585,69,7193,18573
2018-05-01,21990,23554,32087,26009,11674,72,6377,25992
2018-05-02,32852,30416,40007,40171,17508,89,10071,27410
2018-05-03,49369,47944,48933,46745,25337,94,38626,79282
2018-05-04,44826,45188,45786,37326,23069,89,35519,71723
2018-05-05,27922,26992,36001,30994,14595,76,8739,23511
2018-05-06,36316,32062,42890,45308,19338,85,9129,24622
2018-05-07,55116,52259,51579,51014,29003,96,39659,77600
2018-05-08,43561,45885,43593,36379,23308,86,33802,66501
2018-05-09,30191,26552,32722,36135,16407,70,7928,21755
2018-05-10,58749,53004,51986,56512,30313,89,41224,81734
2018-05-11,51114,48511,45453,44178,26875,82,36663,71446
2018-05-12,29698,27848,36310,34404,16570,69,8451,23077
2018-05-13,39860,33552,41647,51830,21731,83,9295,24112
2018-05-14,63233,57160,54063,61398,32850,96,41553,81909
2018-05-15,65036,58580,53122,60491,34868,92,43563,82346
2018-05-16,65490,59013,53057,58901,35026,93,44890,78640
2018-05-17,63519,62544,50677,56207,34066,88,43869,75820
2018-05-18,51298,49425,44258,43729,27833,82,36248,65768
2018-05-19,31518,35852,35006,34777,17546,71,8665,22102
2018-05-20,41880,34994,43645,55901,23572,87,9342,24323
2018-05-21,64249,58479,56377,67147,35024,94,43438,78859
2018-05-22,64389,59179,53489,64853,35902,94,45329,81912
2018-05-23,62095,57846,52223,60705,35196,89,44196,77458
2018-05-24,58588,55502,49855,55435,33422,86,42866,77081
2018-05-25,47854,47301,43413,40058,26799,78,36410,69054
2018-05-26,28976,27969,34401,31114,16832,66,8426,23164
2018-05-27,36287,32703,40734,53816,22071,80,8914,25124
2018-05-28,59991,60525,54750,66746,34317,108,44588,87258
2018-05-29,60846,59241,53958,64094,34731,103,47082,93688
2018-05-30,60380,56826,52361,61089,33811,94,47793,91670
2018-05-31,57296,56385,51510,53600,32738,92,46914,90355
2018-06-01,45339,47338,43885,36468,24987,82,37226,72458
2018-06-02,28444,34654,34417,26732,15771,78,8569,24785
2018-06-03,34649,33655,41282,41677,21381,86,9693,26387
2018-06-04,56725,57627,53049,54771,32471,101,43082,85462
2018-06-05,59100,60495,53996,55734,33484,99,46381,88265
2018-06-06,58396,59502,52206,53047,32521,92,46473,84967
2018-06-07,56789,58044,49843,49914,31486,89,45328,83148
2018-06-08,49779,52179,45823,41961,27242,85,40664,79562
2018-06-09,37120,40441,38121,28207,20333,78,28455,62205
2018-06-10,24670,27213,32049,20752,14230,73,6940,21798
2018-06-11,27596,30431,35333,25139,15909,81,7864,22263
2018-06-12,34180,36070,40713,34995,20736,88,9665,24950
2018-06-13,54955,55625,49830,47787,29674,94,42444,84913
2018-06-14,53290,53831,45232,42935,28523,97,43378,104997
2018-06-15,42630,49417,39516,31359,22733,92,35153,106507
2018-06-16,26353,27375,31248,19739,13992,84,8989,43363
2018-06-17,32073,31320,36990,28784,17299,101,9464,41234
2018-06-18,52675,52397,47843,39252,27354,112,42733,100815
2018-06-19,53228,57753,45973,38932,27487,103,44809,91554
2018-06-20,53103,52786,45905,38652,26664,98,44871,86977
2018-06-21,52171,53530,44856,34815,25709,104,45036,85691
2018-06-22,41080,42526,38522,25217,20124,86,36953,68551
2018-06-23,22236,23326,28633,13794,10731,72,8172,24082
2018-06-24,28351,31946,34070,21217,13822,88,8934,25999
2018-06-25,47084,50169,44108,30639,22598,95,43109,80775
2018-06-26,49234,49117,43948,29394,22907,99,46169,82067
2018-06-27,48673,47328,41907,27058,21715,93,46902,82046
2018-06-28,46601,50443,40828,24621,20180,94,46197,79914
2018-06-29,36945,38141,36782,17091,16269,87,39141,69957
2018-06-30,20774,25609,27552,8957,7929,77,10757,24271
2018-07-01,23253,23066,28601,11384,8743,85,10076,24415
2018-07-02,41091,42171,39173,17883,16926,97,43868,71610
2018-07-03,44894,46325,43041,18493,17974,104,47446,75505
2018-07-04,46150,47526,44402,18652,18121,108,48324,75173
2018-07-05,43821,48309,43207,17219,17410,101,46736,75506
2018-07-06,35448,40517,36578,13208,14428,88,38395,61361
2018-07-07,18793,21374,25774,6966,6493,71,8200,19299
2018-07-08,21886,23731,32005,9168,8116,87,8494,21131
2018-07-09,41262,46166,45193,15903,16976,101,45554,72026
2018-07-10,41136,46544,44509,15966,16938,102,46880,75348
2018-07-11,40494,46781,42276,14661,16786,98,45903,72204
2018-07-12,39044,46920,41509,13880,16098,98,44407,69798
2018-07-13,32145,37659,36035,10485,13454,91,36503,59302
2018-07-14,17663,20905,27434,5781,6389,78,7822,18872
2018-07-15,19583,27199,30086,7325,7520,82,8090,20143
2018-07-16,36990,42545,42439,13058,15359,104,41040,64537
2018-07-17,38331,46303,44290,13905,16338,102,44146,65689
2018-07-18,39174,46047,45532,14725,16579,100,44551,65918
2018-07-19,38429,45098,44067,14055,16337,99,43722,69618
2018-07-20,32355,39808,38440,11605,13428,92,36052,58280
2018-07-21,18355,22253,30187,6343,6769,83,8191,19719
2018-07-22,20732,24376,35568,8223,7710,94,9239,20638
2018-07-23,38912,45040,47622,14555,16165,109,43120,65411
2018-07-24,39309,46883,46573,15509,16975,106,45774,72221
2018-07-25,38052,46030,43834,14096,16265,101,44750,70346
2018-07-26,36775,43860,42014,13179,15759,97,41331,65410
2018-07-27,30570,38153,35552,11121,13002,88,34221,55821
2018-07-28,16999,20737,28657,6435,6052,77,7958,18821
2018-07-29,20033,22771,33006,9583,7220,93,8361,20087
2018-07-30,37578,44030,45496,15755,15763,107,40904,70053
2018-07-31,38623,45120,45027,15458,16345,101,43853,72306
2018-08-01,36783,44161,43620,15570,15313,99,40334,69580
2018-08-02,35813,43254,41546,15900,15402,95,39092,64077
2018-08-03,31417,39092,37523,12356,13173,88,31929,53978
2018-08-04,17805,21169,29497,7521,6134,78,7483,19666
2018-08-05,20055,23062,34522,10943,7227,88,8109,19554
2018-08-06,37732,45648,47495,17939,15536,107,38797,63565
2018-08-07,38912,48445,47163,19035,16763,105,41627,64954
2018-08-08,38471,46574,46194,19557,16474,100,40510,63920
2018-08-09,37076,45635,44537,20266,16288,100,40158,63172
2018-08-10,30562,39182,38136,15251,12987,89,31503,55292
2018-08-11,16977,22516,29153,8576,6148,82,6898,17679
2018-08-12,20266,26658,34306,13005,7745,93,7646,18212
2018-08-13,38576,48005,47094,22963,16414,112,38675,63762
2018-08-14,39441,47289,46739,25423,17005,112,40144,64753
2018-08-15,39224,47153,45090,25309,16547,105,39585,64019
2018-08-16,38331,46821,44402,24754,16278,100,38775,62529
2018-08-17,31191,40029,39075,19252,13657,89,31160,50580
2018-08-18,17327,23250,30075,10958,6291,77,7003,16779
2018-08-19,19963,25018,34483,17049,7778,89,7430,17568
2018-08-20,38996,46400,46614,28862,15934,107,37848,60223
2018-08-21,40989,50455,50300,30292,16765,106,39199,61619
2018-08-22,41430,50760,50071,31722,17238,104,39548,62005
2018-08-23,39985,51607,47590,31453,16667,98,38662,60198
2018-08-24,33818,42545,43173,24033,13667,90,31994,51141
2018-08-25,18677,24351,32200,14967,6700,79,6885,16635
2018-08-26,22095,26797,38735,22793,7726,92,7078,18126
2018-08-27,41902,48026,49623,39531,16822,110,38127,61771
2018-08-28,44279,50246,50782,40035,17477,106,40743,66815
2018-08-29,44979,51154,50681,41401,17490,108,41251,94798
2018-08-30,44336,48175,47713,39720,16733,104,39782,81257
2018-08-31,39094,42532,41916,28580,14497,96,33254,63961
2018-09-01,23542,25131,32349,15528,6781,77,6535,21734
2018-09-02,29095,28462,39231,29837,8413,93,7351,23502
2018-09-03,55942,50316,50807,42663,18285,103,37359,66944
2018-09-04,61318,53010,53542,49330,20760,109,40806,69049
2018-09-05,60964,53541,50716,48041,20676,102,40768,67608
2018-09-06,58087,52650,48134,47230,20832,105,39859,66871
2018-09-07,46699,45696,43004,35291,17565,92,33160,57433
2018-09-08,27650,27428,33063,23237,8928,81,6916,19242
2018-09-09,38220,30615,39021,38547,12037,94,7530,21113
2018-09-10,60828,54124,52249,55157,22573,107,39070,67151
2018-09-11,62290,56900,52103,56239,24220,106,41827,67970
2018-09-12,61651,55826,50935,55388,24111,106,41318,65112
2018-09-13,59295,55290,49950,52115,23302,103,40971,63885
2018-09-14,47097,52143,42945,38912,19199,88,33952,55140
2018-09-15,26637,31519,32680,26137,10311,80,7276,18681
2018-09-16,37251,36036,40804,46292,14113,101,7950,20387
2018-09-17,60401,59976,53343,60458,24535,109,39601,64151
2018-09-18,62204,62490,52596,59356,25833,104,42933,64869
2018-09-19,60814,61692,51831,58231,25593,105,41945,66467
2018-09-20,58108,59912,50130,51913,24979,103,40792,64699
2018-09-21,47454,49985,43618,38771,20192,94,33986,54221
2018-09-22,27456,30933,33805,27721,10638,83,7307,18674
2018-09-23,38011,35504,41182,48460,15097,102,7940,20835
2018-09-24,61664,58541,55176,60246,26870,112,42496,68468
2018-09-25,63789,57888,55107,58370,27363,112,44504,73914
2018-09-26,62748,56574,53337,52653,26483,106,43903,74627
2018-09-27,61113,55453,51124,43375,25611,104,44009,74928
2018-09-28,48570,47857,45131,35135,21455,91,37227,69921
2018-09-29,29171,29742,35413,28681,11771,87,8380,22961
2018-09-30,38685,34159,43419,47892,15831,105,9198,24305
2018-10-01,60990,57379,54121,58379,26139,107,41242,75774
2018-10-02,63805,59875,55782,61590,28681,109,44511,75199
2018-10-03,65088,60618,56373,59703,28728,107,44357,75442
2018-10-04,59803,57580,52968,51947,27113,101,43370,75560
2018-10-05,46645,49876,45383,34185,21366,93,36092,62615
2018-10-06,29095,31272,37234,30733,12639,83,8900,23176
2018-10-07,38528,34164,40991,52974,16419,95,9289,23789
2018-10-08,64840,60902,57490,68143,29190,109,43109,74115
2018-10-09,66629,63210,56141,67804,30583,103,46532,76787
2018-10-10,65494,66000,54291,63525,29577,97,45303,77970
2018-10-11,62941,60416,53514,61768,29066,94,43773,73295
2018-10-12,52353,54656,47379,45612,24595,88,37603,62066
2018-10-13,30399,34374,37380,34078,13749,78,8915,22477
2018-10-14,41104,35357,45227,57606,18286,96,9838,24143
2018-10-15,65409,61284,59025,68037,30966,103,44571,76054
2018-10-16,68115,62355,58889,67959,31775,103,47204,74820
2018-10-17,66905,63171,58622,64696,31161,101,46835,71874
2018-10-18,64874,60772,55970,60284,30511,97,46485,69091
2018-10-19,52529,52942,48880,44999,25196,90,38623,59938
2018-10-20,31823,32660,38530,35161,14874,85,9723,22024
2018-10-21,43975,38620,48460,59554,20410,101,10953,24775
2018-10-22,67798,67068,63296,70493,33355,108,46803,73673
2018-10-23,70867,68109,64000,68624,33726,107,48872,77538
2018-10-24,68761,65709,60807,64786,33665,102,48958,77268
2018-10-25,66615,62833,58135,59705,31204,99,48223,76580
2018-10-26,52613,54187,49921,46151,24958,89,39238,65138
2018-10-27,31527,34090,39856,36719,14419,82,9707,23867
2018-10-28,40248,41337,47839,59908,19416,102,11020,25371
2018-10-29,63829,64883,60699,77986,31281,107,45459,76712
2018-10-30,64772,64259,59058,76353,31999,109,48369,82314
2018-10-31,62647,62213,57793,71170,31045,102,47519,80445
2018-11-01,59081,59497,54497,64106,28483,98,44267,74234
2018-11-02,47457,52026,47543,45582,23111,90,35924,62422
2018-11-03,27848,34628,39337,30842,12801,82,8106,21966
2018-11-04,29981,35738,44755,42369,14116,98,7545,20469
2018-11-05,42850,41959,53914,63076,21083,116,10972,26616
2018-11-06,65520,64274,62889,73975,33283,116,44190,75386
2018-11-07,69664,66640,62539,71297,34210,109,47324,78691
2018-11-08,70260,67199,60084,65718,33162,104,47787,79353
2018-11-09,58043,57614,51313,50068,26773,100,40396,70429
2018-11-10,36473,36761,42292,40399,16124,87,10420,27527
2018-11-11,48136,40901,49602,60502,21655,104,10539,26950
2018-11-12,71416,66039,61498,72333,33500,112,45659,77924
2018-11-13,71207,68067,60533,69980,35217,112,48387,80066
2018-11-14,69787,67623,59043,66205,33847,106,48406,80737
2018-11-15,66420,63275,57369,60776,31995,101,47771,78798
2018-11-16,54866,54175,50362,47209,26654,92,39485,64995
2018-11-17,34415,34246,41791,38144,16105,87,9646,24302
2018-11-18,45924,40079,51175,60329,22188,104,11004,26675
2018-11-19,70382,65607,64217,71460,34191,114,47284,80322
2018-11-20,71354,68702,64210,68255,35915,112,50383,83427
2018-11-21,68928,65725,61706,64133,35093,108,46998,78750
2018-11-22,66172,63049,58101,56434,33569,102,47695,78723
2018-11-23,51412,53141,49726,43207,26366,86,39866,66218
2018-11-24,33022,34822,42250,35423,16357,84,9886,25937
2018-11-25,42562,38568,48546,54067,21133,99,10640,26217
2018-11-26,68492,63916,61078,69779,35262,108,48389,80341
2018-11-27,70519,66394,61787,69401,36695,107,52304,83626
2018-11-28,68276,64645,60491,64240,34969,103,51066,82909
2018-11-29,65428,63832,58126,58688,33866,96,51037,84718
2018-11-30,53115,54425,49647,43863,27139,88,43078,72771
2018-12-01,33589,39381,42017,36350,17142,83,10613,27004
2018-12-02,45824,41045,50998,56724,23506,105,12041,29878
2018-12-03,67584,63999,61623,67865,34455,106,48151,82591
2018-12-04,69915,66544,61832,66974,35364,103,51476,86089
2018-12-05,69718,65520,60451,63169,35413,104,50406,86155
2018-12-06,67827,63617,57470,58854,34066,100,50299,82788
2018-12-07,54859,55523,50381,43424,28281,95,42869,71361
2018-12-08,36519,35745,43008,36679,18578,84,11194,28097
2018-12-09,48008,41915,51363,57984,24656,106,12471,29854
2018-12-10,70177,65755,60714,65756,36024,108,50327,87217
2018-12-11,70450,66365,60009,63089,36630,107,54015,90755
2018-12-12,69397,65316,58513,61481,36375,101,53192,87779
2018-12-13,66903,63204,56374,55655,34541,98,52075,82135
2018-12-14,53437,55177,49957,41122,27990,89,43459,72388
2018-12-15,34973,35466,41308,31931,18050,82,11164,27020
2018-12-16,46848,41572,49990,52499,24748,99,12107,29081
2018-12-17,67754,63020,59431,62627,36523,104,49955,81015
2018-12-18,68295,63116,57090,59203,36112,96,52604,81304
2018-12-19,67696,62349,55730,54329,35315,96,50843,80604
2018-12-20,63746,58465,51968,48102,32978,91,49040,78536
2018-12-21,50352,48667,44982,34826,25599,83,40853,66489
2018-12-22,30559,30979,37605,24429,15849,77,10678,26597
2018-12-23,41520,36209,46212,38166,22041,88,11797,27752
2018-12-24,56347,52537,49785,43847,29951,85,47002,76791
2018-12-25,53762,51458,46347,39280,28423,85,47530,78926
2018-12-26,47528,46858,42883,34629,25653,78,44467,74513
2018-12-27,41036,41682,37384,29943,21458,74,41959,72230
2018-12-28,30840,33762,31206,22703,15176,64,34242,62395
2018-12-29,18783,23855,26009,13180,8754,57,19218,37271
2018-12-30,11510,16621,22280,6279,5112,54,5153,14975
2018-12-31,6868,11041,14500,2801,3104,37,2722,9289
2019-01-01,10568,13442,23607,7473,4249,65,3272,17266
2019-01-02,16539,20599,36170,17631,7214,93,5611,20752
2019-01-03,19765,24841,40766,21538,8805,103,7704,23469
2019-01-04,21943,27725,44613,25418,10037,110,8956,26692
2019-01-05,24201,28554,46920,25912,10477,114,9057,24726
2019-01-06,23048,27929,46495,25367,10732,114,7749,22308
2019-01-07,26419,30096,51080,30487,11821,130,7675,27885
2019-01-08,36072,38216,61606,43301,16612,148,13300,38076
2019-01-09,57560,57757,69632,61421,26521,154,45324,100633
2019-01-10,63703,62285,67409,64235,29300,140,50966,106337
2019-01-11,55044,57473,61203,50360,25821,130,44126,88953
2019-01-12,37310,36314,50555,40433,16433,120,13033,35438
2019-01-13,43448,40406,54636,54392,19571,131,12801,33299
2019-01-14,71270,66285,75816,70181,33406,148,50133,97867
2019-01-15,73293,69247,69896,71693,34190,142,53415,102441
2019-01-16,74921,69895,68200,70261,34642,140,53853,96583
2019-01-17,73160,69782,65566,67041,34362,140,52717,93542
2019-01-18,58908,59125,54630,50460,28590,119,43945,80611
2019-01-19,35947,36404,45490,41159,16880,110,12665,31564
2019-01-20,48563,42721,56774,61922,22183,136,14150,34863
2019-01-21,74716,70976,70645,73363,35431,143,51866,94966
2019-01-22,75734,72962,70350,72688,36708,142,54544,96651
2019-01-23,74611,72752,70194,69719,35662,139,54861,97344
2019-01-24,72899,70544,66785,63726,34636,135,54661,95569
2019-01-25,58701,60779,58515,47947,27592,122,45545,86335
2019-01-26,36496,37523,50188,39732,16301,114,12478,33735
2019-01-27,46273,43022,57081,60348,20454,138,13365,35311
2019-01-28,72358,70254,71782,71256,33138,145,52768,103329
2019-01-29,73957,73193,71482,68161,34204,143,56747,107179
2019-01-30,72186,70959,67134,65016,33569,137,55645,106835
2019-01-31,69516,68528,66083,58855,31056,132,55417,105679
2019-02-01,56055,60211,58789,46627,25976,120,44919,88498
2019-02-02,35482,37894,50752,36157,15058,121,12520,33752
2019-02-03,44353,43025,58656,54192,19018,146,13697,36275
2019-02-04,70003,70957,71270,68060,31214,153,51702,101348
2019-02-05,71309,73969,71333,70759,32899,154,54084,103983
2019-02-06,71650,72441,70163,68128,32331,146,54680,100513
2019-02-07,71085,71194,69926,63843,31266,140,54060,99520
2019-02-08,57716,61700,59353,48468,26725,124,44635,86970
2019-02-09,36212,38461,50595,36936,15497,117,12661,33124
2019-02-10,45374,43375,60535,55419,19943,140,13958,36177
2019-02-11,72388,71827,73014,68217,32460,149,52354,99297
2019-02-12,73860,72503,69469,65712,33281,143,55201,100214
2019-02-13,74564,73169,64907,61520,32640,139,53522,94568
2019-02-14,64858,65453,64660,54550,30580,126,51116,88392
2019-02-15,57404,59591,55704,44226,26736,119,43521,80445
2019-02-16,36172,36977,46987,34900,15614,109,11743,29479
2019-02-17,45892,43939,56723,54615,20235,136,12868,31851
2019-02-18,71171,71442,69224,64760,33127,147,51681,89050
2019-02-19,73184,74403,68339,62944,34861,135,54213,90421
2019-02-20,70942,73561,66914,56765,32638,132,53202,93742
2019-02-21,66891,67750,62594,52019,30587,125,51009,89771
2019-02-22,45657,53370,49710,34207,21233,107,35809,64927
2019-02-23,27458,31246,37244,27710,12262,100,8381,23577
2019-02-24,44130,42625,55415,52023,20478,140,12869,32558
2019-02-25,71198,71535,69886,65225,33786,143,52115,97655
2019-02-26,74359,75357,71966,62261,36057,145,56802,100278
2019-02-27,72582,73014,69261,58998,34799,132,57050,100517
2019-02-28,69932,69795,65741,51258,32934,126,55904,101317
2019-03-01,55227,60965,55642,38481,26774,115,45111,81148
2019-03-02,35570,41231,47135,32267,16191,110,12563,29809
2019-03-03,45903,47122,56784,48973,21606,132,13570,32471
2019-03-04,68364,74626,66304,52932,32536,131,51084,88824
2019-03-05,68111,74756,63900,46791,32882,126,52298,90221
2019-03-06,59945,68161,58063,37425,29321,114,47956,79999
2019-03-07,36118,47979,42448,20526,17718,90,28149,53249
2019-03-08,19251,27863,32489,14181,8391,84,6055,17870
2019-03-09,28814,36513,45535,31790,13230,110,9244,22363
2019-03-10,41775,43555,55217,47339,20531,134,12182,28185
2019-03-11,71915,75594,70791,68317,34944,147,52172,88460
2019-03-12,76449,80232,70854,70767,37498,138,56185,94541
2019-03-13,74753,83697,69185,67696,37521,136,55492,92069
2019-03-14,73170,75812,66785,63690,36128,137,54686,89608
2019-03-15,59451,71501,57681,49232,29577,119,46688,76986
2019-03-16,37570,40789,47755,39769,17738,113,13000,29545
2019-03-17,48617,48098,57292,61022,24258,137,14324,30941
2019-03-18,73684,76807,68875,73548,37485,144,51966,87443
2019-03-19,75423,80549,68551,72269,38399,138,56412,89671
2019-03-20,72725,80044,64851,70177,36750,135,55323,88656
2019-03-21,69518,80557,62033,66567,35562,136,54126,84020
2019-03-22,56493,69060,54482,51904,29430,118,45975,72497
2019-03-23,34551,46231,45898,39331,17340,112,13412,27506
2019-03-24,43537,52049,55055,65073,22760,137,15226,29874
2019-03-25,69296,79514,65273,81971,36321,145,54303,85559
2019-03-26,71569,78113,65833,79992,38086,138,57841,87544
2019-03-27,70123,75018,64361,72842,37810,132,58346,87648
2019-03-28,68265,73488,62297,65691,35688,126,56533,85074
2019-03-29,56342,63958,54036,48292,29268,118,47526,77094
2019-03-30,35662,41281,45671,36654,17475,110,14585,29942
2019-03-31,43052,46855,52438,53882,22019,131,15424,30203
2019-04-01,68071,74104,64034,66684,35085,131,52438,87572
2019-04-02,72532,77434,66369,69438,37254,131,53864,88184
2019-04-03,72735,77307,64932,67186,36543,128,52299,86479
2019-04-04,69607,73112,62277,62456,35030,123,51483,82814
2019-04-05,56615,63036,53122,45806,29085,110,43804,72463
2019-04-06,36225,38624,42402,34240,17253,103,11307,26402
2019-04-07,45024,44669,53277,57130,23216,126,12012,32159
2019-04-08,71121,73490,65300,68065,36736,135,50499,84834
2019-04-09,72069,74993,63321,69793,37408,129,53430,85735
2019-04-10,71522,73546,61340,63464,36276,123,52514,87148
2019-04-11,68384,73231,59266,57724,35572,117,51487,81432
2019-04-12,56688,68639,52392,44958,28991,105,43165,70213
2019-04-13,34935,38154,45167,34366,18350,99,11805,27099
2019-04-14,47122,46171,51112,56097,24748,120,12762,30080
2019-04-15,70393,71418,62507,68293,36217,126,50313,88686
2019-04-16,72012,72189,61024,66270,37404,123,52372,83439
2019-04-17,71792,74814,59411,62466,36515,120,51798,81839
2019-04-18,70121,72305,60872,58080,36785,126,52175,80528
2019-04-19,55567,62015,52991,43694,30324,111,43674,69167
2019-04-20,33568,37274,41956,29412,18032,99,11182,24136
2019-04-21,43730,43784,48489,49532,22831,115,11843,26144
2019-04-22,68116,71854,61136,61449,36127,121,50481,79371
2019-04-23,70624,71605,60522,60118,38204,118,53553,81677
2019-04-24,68399,68062,57086,55100,36118,115,51665,79957
2019-04-25,61842,64526,51513,46388,32603,106,49142,77061
2019-04-26,50619,55895,45638,35208,27305,97,41091,66295
2019-04-27,27446,32455,34295,21415,15116,83,9402,20950
2019-04-28,35647,35018,40806,34710,19092,106,9984,22631
2019-04-29,58828,61592,56995,51060,31884,116,48142,83690
2019-04-30,43389,52238,47737,32967,24608,99,38265,71281
2019-05-01,23594,30739,36974,20404,13054,93,7545,20148
2019-05-02,27291,33230,40792,27245,15625,106,7575,19838
2019-05-03,29075,36042,42771,30020,17047,112,8114,19415
2019-05-04,28683,33523,43257,30407,16374,116,7545,18787
2019-05-05,36420,38730,48385,39881,20985,123,8785,22222
2019-05-06,54697,58069,53148,48155,30215,114,38223,70742
2019-05-07,53960,59017,52411,44744,29974,114,36967,67347
2019-05-08,41609,49239,48066,32397,23286,100,30446,57877
2019-05-09,22107,27582,29444,19384,12630,85,5518,14692
2019-05-10,30369,34200,37867,30870,17144,103,7132,18030
2019-05-11,31367,36883,41456,34641,18482,110,7191,17491
2019-05-12,44321,44925,50968,50037,24756,129,9031,22750
2019-05-13,70721,70047,62772,64826,38218,135,43114,81183
2019-05-14,75419,73534,62856,68255,40494,137,48025,83750
2019-05-15,76112,73807,60682,66229,40843,128,47299,82249
2019-05-16,74866,71925,64492,65477,41154,121,46572,78491
2019-05-17,60811,61645,51833,49931,33063,110,39074,67913
2019-05-18,36198,37767,38901,37480,21269,94,8793,23196
2019-05-19,48965,47607,47516,61970,29020,112,9692,25921
2019-05-20,74380,73935,59729,74759,41615,124,45684,81237
2019-05-21,75906,74933,61108,70810,42572,121,47776,82401
2019-05-22,72326,70622,58349,68176,40817,117,47938,80608
2019-05-23,68749,72383,57071,62249,39100,116,46464,77357
2019-05-24,56907,62588,48984,46050,32376,104,39521,68854
2019-05-25,34816,42431,39314,34458,20360,96,9708,23434
2019-05-26,43782,47889,47546,57419,26754,117,10177,26594
2019-05-27,70044,73713,61016,75401,40407,124,48026,85892
2019-05-28,69494,73899,58249,68203,41283,122,49925,86713
2019-05-29,68059,71953,56079,64417,39129,118,48312,83561
2019-05-30,65545,71015,53937,58848,38028,111,47855,82899
2019-05-31,52663,58143,49767,39944,29729,104,40134,69406
2019-06-01,29905,35646,38278,25096,17930,89,8724,21553
2019-06-02,38902,41596,44884,41460,23771,107,9773,23679
2019-06-03,64390,68383,57383,56163,36504,119,45248,76576
2019-06-04,66886,70133,56817,57922,37868,117,46109,76690
2019-06-05,65628,69560,55530,55975,37242,111,46864,78181
2019-06-06,63494,67117,53401,52559,35939,108,45407,74595
2019-06-07,51568,58195,45588,39986,29320,100,37595,62876
2019-06-08,30278,35406,35764,23361,17307,90,8776,20818
2019-06-09,37826,44975,41928,36563,22891,109,9665,22839
2019-06-10,62257,68195,52685,52256,35028,119,44846,77409
2019-06-11,54907,64548,49048,38337,31377,112,41199,68856
2019-06-12,41177,48877,43827,36297,24146,105,12104,27517
2019-06-13,64113,68875,53898,50807,35333,121,45517,74863
2019-06-14,53449,62701,46459,39124,29801,110,39766,67701
2019-06-15,32263,41245,38264,22773,18172,100,9311,21835
2019-06-16,38958,42886,44327,33430,21629,119,9889,23586
2019-06-17,63782,73141,55704,46732,33749,128,45271,74948
2019-06-18,65606,79525,54986,45983,35446,126,48313,75360
2019-06-19,64265,66134,51034,43133,33344,123,48145,74657
2019-06-20,60254,69002,47848,38185,32215,111,45663,73825
2019-06-21,49407,57991,41227,28766,25650,102,37800,59803
2019-06-22,28643,30372,32590,16156,13638,90,8693,20252
2019-06-23,35290,36728,39215,23727,17414,106,9476,21963
2019-06-24,60820,65383,50909,36544,29435,125,46549,73979
2019-06-25,61675,65463,50807,35685,30085,119,50280,81249
2019-06-26,60625,62966,50319,34145,27426,118,49655,77980
2019-06-27,58798,64409,48685,30616,27112,116,49243,77681
2019-06-28,46992,50866,42839,21652,20976,105,41854,67777
2019-06-29,27181,31264,33155,11933,10697,94,10428,22344
2019-06-30,30738,32885,37428,15083,12606,104,11092,24934
2019-07-01,51235,55806,46502,22533,21535,112,47375,73416
2019-07-02,52824,54800,47757,22508,22543,116,48824,71921
2019-07-03,51248,55556,45514,21536,21927,116,48467,70227
2019-07-04,48320,52432,43108,19656,20747,106,45406,66986
2019-07-05,40789,50737,39519,14199,17743,100,37850,61521
2019-07-06,23734,36738,32001,7886,10350,90,9123,20799
2019-07-07,25980,33361,36970,10110,10289,100,9493,21114
2019-07-08,46402,65940,46570,16971,21234,117,43349,66415
2019-07-09,48116,59200,46258,17052,20969,114,46595,71467
2019-07-10,46659,60231,44830,16996,20446,110,45675,71971
2019-07-11,45343,56639,44789,16127,19350,107,45040,67882
2019-07-12,37556,48195,38420,12989,16238,97,36488,57128
2019-07-13,21142,30073,29991,7058,8291,86,8615,19099
2019-07-14,23302,29435,35420,8460,9008,99,8733,19515
2019-07-15,43018,50836,46999,15953,18412,111,42538,66137
2019-07-16,44552,53898,45690,16296,20329,108,44505,65571
2019-07-17,45110,56938,44864,16290,20006,107,44759,62690
2019-07-18,43974,55880,43202,15977,18351,106,43477,61878
2019-07-19,36446,46369,38796,12113,15805,98,35308,52708
